SendingfirmID,ReceivingfirmID,Start date of Transaction,End date of Transaction,Amount Sent in $,Amount Received in $,ColG,ColH,ColI,ColJ,ColK,SomeCode
202897,202897,10100,33000,621,621,621,0,0,0,1,I8
115009,115009,10100,10900,21611.1,21611,4403.25,0,0,0,0.20375,N5
115009,115009,10100,10900,5.25,5.3,1.08,0,0,0,0.20375,N5
115009,115009,11600,12300,19235.4,19235.4,3919.22,0,0,0,0.20375,N5
115009,115009,11600,12300,4.75,4.71,0.96,0,0,0,0.20375,N5
153114,1000019,10100,13000,165,165,165,0,0,0,1,I8
115009,115009,12400,13000,18664.5,18664.6,3802.9,0,0,0,0.20375,N5
115009,115009,12400,13000,4.62,4.61,0.94,0,0,0,0.20375,N5
153047,153047,10100,13000,1443,1443,1443,0,0,0,1,I8
153047,153047,10100,13000,46,46,46,0,0,0,1,I8
204377,204377,10100,13000,1403.1,1403.04,428.28,1.4,0,0.001,0.30525,NA
204377,1000019,10100,13000,3933.79,3933.8,1200.79,3.93,0,0.001,0.30525,NA
204377,20596600,10100,13000,119.96,120,26.12,0.09,0,0.00075,0.217688,NO
204377,204377,10100,13000,-5422.44,-5422.41,-1655.19,-5.42,0,0.001,0.30525,NA
114492,114492,10100,13000,5547.93,5547.91,1589.2,5.55,0,0.001,0.28645,TE
114492,114492,10100,13000,1965.13,1965.21,562.93,1.97,0,0.001,0.28645,TE
114492,114492,10100,13000,628.17,628.14,193.31,0.63,0,0.001,0.30775,TA
153114,153114,10100,13000,2915,2915,2915,0,0,0,1,I8
202897,202897,10100,12800,29369.3,29369.3,8964.99,29.37,0,0.001,0.30525,NA
202897,1000019,10100,12800,8173.25,8173.25,2494.88,8.17,0,0.001,0.30525,NA
202897,153205,10100,12800,990,990,215.51,0.74,0,0.00075,0.217688,NO
202897,202897,10100,12800,1290.68,1290.71,393.99,1.29,0,0.001,0.30525,NA
115009,115009,20100,20600,18703.6,18703.7,3810.87,0,0,0,0.20375,N5
115009,115009,20100,20600,4.62,4.56,0.93,0,0,0,0.20375,N5
114169,114169,10100,20700,301557,301557,65965.7,0,0,0,0.21875,AO
202666,202666,10100,13000,14034,14034,4283.88,14.03,0,0.001,0.30525,NA
202666,202666,10100,13000,33040.9,33040.9,10085.7,33.04,0,0.001,0.30525,NA
202666,1000019,10100,13000,3180,3180.02,970.7,3.18,0,0.001,0.30525,NA
202666,202666,10100,13000,-0.05,-0.03,-0.01,0,0,0.001,0.30525,NA
112082,112082,10100,13000,1975.25,1975.21,402.45,0,0,0,0.20375,N5
153291,153291,10100,13000,39427.1,39427.1,12330.8,39.43,0,0.001,0.31275,I4
153291,1000019,10100,13000,7952.82,7952.8,2487.24,7.95,0,0.001,0.31275,I4
153047,153047,10100,13000,31434.3,31434.4,9831.11,31.43,0,0.001,0.31275,I4
